BV/TV,Degree of Anisotropy,ROI Number,Scan,Variation Coefficient
0.2822,2.112,4,C0001785_SEG_UNCOMP,0.36206339701046136
0.0739,1.779,5,C0001785_SEG_UNCOMP,0.3929868979333727
0.1972,1.931,6,C0001785_SEG_UNCOMP,0.22401244228759556
0.0954,1.85,1,C0001792_SEG_UNCOMP,0.28299447360135177
0.1344,2.027,2,C0001792_SEG_UNCOMP,0.30451868757238093
0.1699,2.283,3,C0001792_SEG_UNCOMP,0.2723649505870729
0.1338,1.993,4,C0001792_SEG_UNCOMP,0.20461657548044598
0.1177,1.994,5,C0001792_SEG_UNCOMP,0.3211024533132573
0.1514,1.927,6,C0001792_SEG_UNCOMP,0.16959938410722258
0.2772,1.773,1,C0001799_SEG_UNCOMP,0.15991333074131492
0.3198,1.73,2,C0001799_SEG_UNCOMP,0.09532767407588329
0.2594,1.494,3,C0001799_SEG_UNCOMP,0.24321872928612515
0.2535,2.179,4,C0001799_SEG_UNCOMP,0.13693460411850328
0.236,2.289,5,C0001799_SEG_UNCOMP,0.09828569241347858
0.2092,2.205,6,C0001799_SEG_UNCOMP,0.1643948537424657
0.2808,1.821,1,C0001803_SEG_UNCOMP,0.11780494254885396
0.3007,1.619,2,C0001803_SEG_UNCOMP,0.05943232522928379
0.3149,1.521,3,C0001803_SEG_UNCOMP,0.20538468260378157
0.2448,2.003,4,C0001803_SEG_UNCOMP,0.1194300924753417
0.2181,1.829,5,C0001803_SEG_UNCOMP,0.1016622619690553
0.2464,1.749,6,C0001803_SEG_UNCOMP,0.11512410749687982
0.3258,2.005,1,C0001808_SEG_UNCOMP,0.13565363273855752
0.2398,1.783,2,C0001808_SEG_UNCOMP,0.14626862528549156
0.4116,2.142,3,C0001808_SEG_UNCOMP,0.1678031003486068
0.2926,1.815,4,C0001808_SEG_UNCOMP,0.11889313572200533
0.2624,1.925,5,C0001808_SEG_UNCOMP,0.1487954987756323
0.4041,1.898,6,C0001808_SEG_UNCOMP,0.13774228777196237
0.2075,1.276,1,C0001814_SEG_UNCOMP,0.3007540188064237
0.2839,1.634,2,C0001814_SEG_UNCOMP,0.2005988415494457
0.2635,1.651,3,C0001814_SEG_UNCOMP,0.20074404416765876
0.1723,1.932,4,C0001814_SEG_UNCOMP,0.14602630823008525
0.233,1.946,5,C0001814_SEG_UNCOMP,0.11152432516385737
0.3156,2.136,6,C0001814_SEG_UNCOMP,0.15401063327061132
0.0754,1.529,1,C0001821_SEG_UNCOMP,0.5339194291880223
0.2306,1.921,2,C0001821_SEG_UNCOMP,0.23903925920934055
0.1948,2.373,3,C0001821_SEG_UNCOMP,0.3439418170797251
0.122,1.983,4,C0001821_SEG_UNCOMP,0.2578510535983407
0.2765,2.342,5,C0001821_SEG_UNCOMP,0.11940800545390737
0.1406,1.924,6,C0001821_SEG_UNCOMP,0.390050783474762
0.5063,1.533,1,C0001826_SEG_UNCOMP,0.14069095655310332
0.3652,1.406,2,C0001826_SEG_UNCOMP,0.27198070092135285
0.3458,1.543,3,C0001826_SEG_UNCOMP,0.1132968295865781
0.2972,2.105,4,C0001826_SEG_UNCOMP,0.10387069130418741
0.3434,1.957,5,C0001826_SEG_UNCOMP,0.06180674908400367
0.3406,2.02,6,C0001826_SEG_UNCOMP,0.11836742264147927
0.163,2.181,1,C0001831_SEG_UNCOMP,0.25439735019966536
0.0657,1.617,2,C0001831_SEG_UNCOMP,0.3349042615980476
0.1349,1.72,3,C0001831_SEG_UNCOMP,0.3330365448456988
0.0979,2.135,4,C0001831_SEG_UNCOMP,0.3004136276354536
0.0688,1.576,5,C0001831_SEG_UNCOMP,0.35482656677119173
0.0685,1.945,6,C0001831_SEG_UNCOMP,0.5171467625946999
0.1543,1.839,1,C0001839_SEG_UNCOMP,0.13948660704478594
0.2512,2.221,2,C0001839_SEG_UNCOMP,0.10619432825632356
0.2619,2.243,3,C0001839_SEG_UNCOMP,0.16447725235747157
0.1528,2.087,4,C0001839_SEG_UNCOMP,0.28968612401392296
0.1781,2.34,5,C0001839_SEG_UNCOMP,0.08966346635339892
0.1937,2.11,6,C0001839_SEG_UNCOMP,0.16269756063818946
0.2038,1.944,1,C0001844_SEG_UNCOMP,0.15909215370640087
0.2698,2.072,2,C0001844_SEG_UNCOMP,0.17926897737516398
0.2029,2.018,3,C0001844_SEG_UNCOMP,0.1814455667126158
0.3269,2.074,4,C0001844_SEG_UNCOMP,0.22664564703065768
0.2272,2.092,5,C0001844_SEG_UNCOMP,0.23045115496219745
0.2724,2.146,6,C0001844_SEG_UNCOMP,0.21188173089505635
0.3093,2.605,1,C0001852_SEG_UNCOMP,0.12917056204466598
0.283,2.438,2,C0001852_SEG_UNCOMP,0.1318295332240028
0.3501,2.751,3,C0001852_SEG_UNCOMP,0.11235116947379607
0.297,2.107,4,C0001852_SEG_UNCOMP,0.14670426819099433
0.2541,2.118,5,C0001852_SEG_UNCOMP,0.11076996376926912
0.3302,2.414,6,C0001852_SEG_UNCOMP,0.11991885369487129
0.1048,1.957,1,C0001856_SEG_UNCOMP,0.1427773244793427
0.193,2.159,2,C0001856_SEG_UNCOMP,0.3046729122593729
0.1108,1.897,3,C0001856_SEG_UNCOMP,0.16155121538650052
0.1544,2.265,4,C0001856_SEG_UNCOMP,0.13106162738256918
0.1124,1.985,5,C0001856_SEG_UNCOMP,0.20835831989850043
0.1003,2.256,6,C0001856_SEG_UNCOMP,0.07861092783266851
0.2526,2.299,1,C0001862_SEG_UNCOMP,0.1481718035663435
0.2934,2.296,2,C0001862_SEG_UNCOMP,0.15726894490573157
0.2306,2.046,3,C0001862_SEG_UNCOMP,0.19770106674591637
0.3275,2.303,4,C0001862_SEG_UNCOMP,0.16526585574299746
0.2435,2.228,5,C0001862_SEG_UNCOMP,0.1040029821784833
0.1739,1.74,6,C0001862_SEG_UNCOMP,0.12529798482623158
0.2905,2.064,1,C0001867_SEG_UNCOMP,0.14209431049687607
0.2571,1.88,2,C0001867_SEG_UNCOMP,0.17470072927270663
0.2884,1.915,3,C0001867_SEG_UNCOMP,0.1679444838173128
0.2761,2.132,4,C0001867_SEG_UNCOMP,0.10814752987151988
0.2796,2.113,5,C0001867_SEG_UNCOMP,0.08070375940492971
0.2376,1.859,6,C0001867_SEG_UNCOMP,0.1327964447528486
0.3437,1.629,1,C0001875_SEG_UNCOMP,0.08476951304048903
0.326,1.663,2,C0001875_SEG_UNCOMP,0.09176135063745572
0.3333,1.551,3,C0001875_SEG_UNCOMP,0.24046564601809947
0.4103,1.728,4,C0001875_SEG_UNCOMP,0.07820242100715913
0.2011,1.882,5,C0001875_SEG_UNCOMP,0.11244163107618205
0.1979,1.875,6,C0001875_SEG_UNCOMP,0.11805666706496501
